API,CC,MemAccess,CVE_Score,NLOC,TokenCount,ParamCount,FS
TIFFNumberOfDirectories,4,262,0.0,19,92,1,2.2195002309977907
TIFFTileRowSize64,6,68,0.0,36,174,1,2.2105680431424295
TIFFFdOpenExt,2,16,0.0,13,78,4,2.177243016947507
TIFFVTileSize,1,256,0.0,7,42,2,2.1565804467816645
TIFFCreateDirectory,1,279,0.0,12,67,1,2.095653758448547
TIFFGetStrileOffsetWithErr,1,55,0.0,7,48,3,2.089976036043094
_TIFFMultiply32,3,15,0.0,10,50,4,2.0884601819877764
_TIFFMultiply64,3,15,0.0,10,50,4,2.0884601819877764
TIFFErrorExt,3,12,0.0,16,84,3,2.0739599427276785
TIFFWarningExt,3,12,0.0,16,84,3,2.0739599427276785
TIFFRawStripSize,3,25,0.0,19,96,2,2.0736732903369757
TIFFSwabArrayOfFloat,2,28,0.0,17,102,2,2.0712902264995887
TIFFSwabArrayOfLong,2,28,0.0,17,102,2,2.0712902264995887
TIFFFieldSetGetCountSize,26,9,0.0,36,109,1,2.0660761734689883
TIFFFieldWithTag,2,72,0.0,10,52,2,2.05312904771809
TIFFFieldWithName,2,71,0.0,10,50,2,2.0464031282806907
TIFFNumberOfStrips,4,71,0.0,18,100,1,2.02923249753332
TIFFStripSize64,2,258,0.0,8,48,1,1.998489535881442
TIFFGetConfiguredCODECs,7,86,0.0,47,258,0,1.9951684640384406
TIFFSetCompressionScheme,2,78,0.0,6,48,2,1.9868731413809981
TIFFSwabDouble,1,43,0.0,18,131,1,1.9587314768393922
TIFFSwabLong8,1,43,0.0,18,131,1,1.9587314768393922
TIFFStripSize,1,275,0.0,7,37,1,1.9492432943154976
TIFFSwabArrayOfShort,2,18,0.0,14,78,2,1.948585313031805
TIFFCreateEXIFDirectory,1,391,0.0,6,27,1,1.9440402288331604
TIFFCreateGPSDirectory,1,391,0.0,6,27,1,1.9440402288331604
TIFFReadRGBAStrip,1,52,0.0,4,27,3,1.9425809126392484
TIFFTileSize,1,258,0.0,7,37,1,1.9397953489032853
TIFFSwabArrayOfTriples,2,18,0.0,13,67,2,1.9199090338802756
